date_SC,trial,channel,degree_min,temp_pulled,discolor_3day,est_scp,eclose,temp_pulled_grouped,uid,trial_id,degree_min_continuous
6/13/2019,1d,15,0.5,-32,1,-23.6,0,-32,76,2019-06-131d,0.5
6/13/2019,1d,control,0.5,NA,0,NA,1,NA,77,2019-06-131d,0.5
6/13/2019,1d,control,0.5,NA,1,NA,0,NA,78,2019-06-131d,0.5
6/13/2019,2d,3,0.5,-28,0,-26.2,0,-28,79,2019-06-132d,0.5
6/13/2019,2d,4,0.5,-22,1,NA,1,-22,80,2019-06-132d,0.5
6/13/2019,2d,7,0.5,-32,1,-27,0,-32,81,2019-06-132d,0.5
6/13/2019,2d,8,0.5,-24,1,NA,0,-24,82,2019-06-132d,0.5
6/13/2019,2d,9,0.5,-32,1,-26,0,-32,83,2019-06-132d,0.5
6/13/2019,2d,10,0.5,-32,1,-25.7,0,-32,84,2019-06-132d,0.5
6/13/2019,2d,11,0.5,-30,1,-25.3,0,-30,85,2019-06-132d,0.5
6/13/2019,2d,14,0.5,-32,1,-24.4,0,-32,86,2019-06-132d,0.5
6/13/2019,2d,15,0.5,-26,1,-20.9,0,-26,87,2019-06-132d,0.5
6/13/2019,2d,control,0.5,NA,1,NA,0,NA,88,2019-06-132d,0.5
6/13/2019,2d,control,0.5,NA,1,NA,0,NA,89,2019-06-132d,0.5
3/14/2019,c,3,0.5,-8,1,NA,0,-8,90,2019-03-14c,0.5
3/14/2019,c,4,0.5,-12,1,NA,0,-12,91,2019-03-14c,0.5
3/14/2019,c,5,0.5,0,1,NA,0,0,92,2019-03-14c,0.5
3/14/2019,c,7,0.5,-20,1,NA,1,-20,93,2019-03-14c,0.5
3/14/2019,c,8,0.5,-2,1,NA,1,-2,94,2019-03-14c,0.5
3/14/2019,c,9,0.5,-18,1,NA,0,-18,95,2019-03-14c,0.5
3/14/2019,c,10,0.5,-4,0,NA,0,-4,96,2019-03-14c,0.5
3/14/2019,c,11,0.5,-10,1,NA,1,-10,97,2019-03-14c,0.5
3/14/2019,c,13,0.5,-14,1,NA,0,-14,98,2019-03-14c,0.5
3/14/2019,c,14,0.5,-16,0,NA,0,-16,99,2019-03-14c,0.5
3/14/2019,c,15,0.5,-6,1,NA,0,-6,100,2019-03-14c,0.5
3/14/2019,c,control,0.5,NA,1,NA,0,NA,101,2019-03-14c,0.5
3/14/2019,c,control,0.5,NA,1,NA,0,NA,102,2019-03-14c,0.5
3/14/2019,d,3,0.5,-34,0,-25.5,0,-32,103,2019-03-14d,0.5
3/14/2019,d,4,0.5,-24,1,NA,0,-24,104,2019-03-14d,0.5
3/14/2019,d,5,0.5,-36,0,-24.7,0,-32,105,2019-03-14d,0.5
3/14/2019,d,7,0.5,-28,0,-26.5,0,-28,106,2019-03-14d,0.5
3/14/2019,d,8,0.5,-30,0,-26.9,0,-30,107,2019-03-14d,0.5
3/14/2019,d,9,0.5,-32,0,-25.1,0,-32,108,2019-03-14d,0.5
3/14/2019,d,10,0.5,-35.5,0,-25.9,0,-32,109,2019-03-14d,0.5
3/14/2019,d,13,0.5,-26,1,NA,0,-26,110,2019-03-14d,0.5
3/14/2019,d,14,0.5,-22,1,NA,1,-22,111,2019-03-14d,0.5
3/14/2019,d,15,0.5,-35.5,0,-26,0,-32,112,2019-03-14d,0.5
3/14/2019,d,control,0.5,NA,1,NA,0,NA,113,2019-03-14d,0.5
3/14/2019,d,control,0.5,NA,1,NA,NA,NA,114,2019-03-14d,0.5
3/14/2019,d,control,0.5,NA,1,NA,0,NA,115,2019-03-14d,0.5
3/14/2019,e,3,1,-6,1,NA,0,-6,116,2019-03-14e,1
3/14/2019,e,4,1,-2,1,NA,0,-2,117,2019-03-14e,1
3/14/2019,e,5,1,-16,1,NA,0,-16,118,2019-03-14e,1
3/14/2019,e,7,1,-18,0,NA,0,-18,119,2019-03-14e,1
3/14/2019,e,8,1,-14,1,NA,0,-14,120,2019-03-14e,1
3/14/2019,e,9,1,-12,0,NA,0,-12,121,2019-03-14e,1
3/14/2019,e,10,1,-4,0,NA,0,-4,122,2019-03-14e,1
3/14/2019,e,11,1,-20,0,NA,0,-20,123,2019-03-14e,1
3/14/2019,e,13,1,-10,1,NA,0,-10,124,2019-03-14e,1
3/14/2019,e,14,1,0,1,NA,0,0,125,2019-03-14e,1
3/14/2019,e,15,1,-8,0,NA,0,-8,126,2019-03-14e,1
3/14/2019,e,control,1,NA,1,NA,0,NA,127,2019-03-14e,1
3/14/2019,e,control,1,NA,0,NA,0,NA,128,2019-03-14e,1
6/14/2019,f,3,1,-22,1,NA,0,-22,129,2019-06-14f,1
6/14/2019,f,4,1,-24,1,NA,1,-24,130,2019-06-14f,1
6/14/2019,f,7,1,-30,1,NA,0,-30,131,2019-06-14f,1
6/14/2019,f,8,1,-34,0,NA,0,-32,132,2019-06-14f,1
6/14/2019,f,10,1,-34,0,-23.1,0,-32,133,2019-06-14f,1
6/14/2019,f,11,1,-28,1,-19.2,0,-28,134,2019-06-14f,1
6/14/2019,f,13,1,-26,1,NA,0,-26,135,2019-06-14f,1
6/14/2019,f,14,1,-32,1,NA,0,-32,136,2019-06-14f,1
6/14/2019,f,15,1,-34,0,-23.3,1,-32,137,2019-06-14f,1
6/14/2019,f,control,1,NA,1,NA,0,NA,138,2019-06-14f,1
6/14/2019,f,control,1,NA,1,NA,1,NA,139,2019-06-14f,1
6/14/2019,f,control,1,NA,1,NA,1,NA,140,2019-06-14f,1
2/15/2019,e,4,1,-10,1,-8.4,0,-10,141,2019-02-15e,1
2/15/2019,e,5,1,-16,1,NA,0,-16,142,2019-02-15e,1
2/15/2019,e,7,1,-18,1,NA,1,-18,143,2019-02-15e,1
2/15/2019,e,8,1,-2,1,NA,0,-2,144,2019-02-15e,1
2/15/2019,e,9,1,0,1,NA,0,0,145,2019-02-15e,1
2/15/2019,e,10,1,-6,1,NA,1,-6,146,2019-02-15e,1
2/15/2019,e,11,1,-4,1,NA,1,-4,147,2019-02-15e,1
2/15/2019,e,13,1,-8,1,NA,0,-8,148,2019-02-15e,1
2/15/2019,e,14,1,-14,1,NA,1,-14,149,2019-02-15e,1
2/15/2019,e,15,1,-12,1,NA,0,-12,150,2019-02-15e,1
2/15/2019,e,control,1,NA,1,NA,1,NA,151,2019-02-15e,1
2/15/2019,e,control,1,NA,1,NA,0,NA,152,2019-02-15e,1
2/15/2019,e,control,1,NA,1,NA,0,NA,153,2019-02-15e,1
3/15/2019,1c,3,0.5,-12,1,NA,0,-12,154,2019-03-151c,0.5
3/15/2019,1c,4,0.5,-10,1,NA,0,-10,155,2019-03-151c,0.5
3/15/2019,1c,5,0.5,-8,0,NA,0,-8,156,2019-03-151c,0.5
3/15/2019,1c,7,0.5,-4,1,NA,0,-4,157,2019-03-151c,0.5
3/15/2019,1c,8,0.5,-20,0,NA,0,-20,158,2019-03-151c,0.5
3/15/2019,1c,9,0.5,-14,1,NA,0,-14,159,2019-03-151c,0.5
3/15/2019,1c,10,0.5,-18,1,NA,0,-18,160,2019-03-151c,0.5
