site,treatment,tree_type,log_id_number,number_of_hatched_larvae,sg_brood_id,sg_count,number_emg_sg,unemerged_larvae,unemerged_adults,total_adults,total_insects,log_uid,brood_uid,prop_success,prop_emerge,min_temp,avg_min_temp,mean_RH,max_temp,mean_temp,sd_temp,min_RH,max_RH,sd_RH,n_temp,var_min_temp,var_RH
Morris,Air,GA,4,1,1,4,0,4,0,0,4,Morris_Air_4,Morris_Air_4_1,0,0,-29.12111111,-10.52366667,84.68851508,22.72888889,-6.339586823,7.756080198,15.344,100,10.69880247,1195,8.194290682,10.20867981
Morris,Air,GA,5,2,1,8,0,7,1,1,8,Morris_Air_5,Morris_Air_5_1,0.125,0,-29.12111111,-10.52366667,84.68851508,22.72888889,-6.339586823,7.756080198,15.344,100,10.69880247,1195,8.194290682,10.20867981
Morris,Air,GA,5,2,2,4,0,4,0,0,4,Morris_Air_5,Morris_Air_5_2,0,0,-29.12111111,-10.52366667,84.68851508,22.72888889,-6.339586823,7.756080198,15.344,100,10.69880247,1195,8.194290682,10.20867981
Morris,Air,GA,6,2,1,8,0,8,0,0,8,Morris_Air_6,Morris_Air_6_1,0,0,-29.12111111,-10.52366667,84.68851508,22.72888889,-6.339586823,7.756080198,15.344,100,10.69880247,1195,8.194290682,10.20867981
Morris,Air,GA,6,2,2,1,0,1,0,0,1,Morris_Air_6,Morris_Air_6_2,0,0,-29.12111111,-10.52366667,84.68851508,22.72888889,-6.339586823,7.756080198,15.344,100,10.69880247,1195,8.194290682,10.20867981
Morris,Snow,GA,1,3,1,3,1,0,2,3,3,Morris_Snow_1,Morris_Snow_1_1,1,0.333333333,-12.975,-4.985427778,94.02580653,22.92,-3.08201703,4.139331701,15.204,100,9.854277469,1195,4.156263539,10.46073586
Morris,Snow,GA,1,3,2,3,0,0,3,3,3,Morris_Snow_1,Morris_Snow_1_2,1,0,-12.975,-4.985427778,94.02580653,22.92,-3.08201703,4.139331701,15.204,100,9.854277469,1195,4.156263539,10.46073586
Morris,Snow,GA,1,3,3,6,0,0,6,6,6,Morris_Snow_1,Morris_Snow_1_3,1,0,-12.975,-4.985427778,94.02580653,22.92,-3.08201703,4.139331701,15.204,100,9.854277469,1195,4.156263539,10.46073586
Morris,Snow,GA,2,4,1,7,0,0,7,7,7,Morris_Snow_2,Morris_Snow_2_1,1,0,-12.975,-4.985427778,94.02580653,22.92,-3.08201703,4.139331701,15.204,100,9.854277469,1195,4.156263539,10.46073586
Morris,Snow,GA,2,4,2,5,0,0,5,5,5,Morris_Snow_2,Morris_Snow_2_2,1,0,-12.975,-4.985427778,94.02580653,22.92,-3.08201703,4.139331701,15.204,100,9.854277469,1195,4.156263539,10.46073586
