date_SC,trial,channel,degree_min,temp_pulled,batch_parasitoid,date_check_3day,discolor_3day,movement_3day,cocoon,stage_l_p_w_3day,date_adult,date_fungus,date_check_7day,discolor_7day,movement_7day,stage_l_p_w_7day,note,est_scp,eclose
13.3.19,a,8,0.1,-20,A,20.3.19,N,Y,N,L,.,.,5.4.19,N,N,L,.,.,N
13.3.19,a,9,0.1,-8,A,20.3.19,N,Y,N,L,.,5.4.19,.,.,.,.,.,.,N
13.3.19,a,10,0.1,-10,A,20.3.19,N,Y,N,L,.,.,5.4.19,Y,N,L,.,.,N
13.3.19,a,11,0.1,-6,A,20.3.19,N,Y,N,L,.,.,5.4.19,N,N,P,.,.,N
13.3.19,a,13,0.1,-12,A,20.3.19,N,N,N,L,.,.,27.3.19,Y,N,,.,.,N
13.3.19,a,14,0.1,-4,A,20.3.19,N,N,Y,W,27.3.19,.,.,.,.,.,2 ADULTS,.,Y
13.3.19,a,15,0.1,-18,A,20.3.19,N,N,Y,W,5.4.19,.,.,.,.,.,ADULT IN COCOON,.,Y
13.3.19,a,c1,0.1,.,A,20.3.19,N,Y,N,L,.,.,5.4.19,DRY,N,L,.,.,N
13.3.19,a,c2,0.1,.,A,20.3.19,N,Y,N,L,.,5.4.19,.,.,.,.,.,.,N
13.6.19,1d,3,0.5,-32,.,17.6.19,Y,.,.,L,.,.,.,.,.,.,.,-25.2,N
13.6.19,1d,4,0.5,-32,.,17.6.19,N,.,.,L,.,.,.,.,.,.,.,.,N
13.6.19,1d,4,0.5,-32,.,17.6.19,N,.,.,L,.,.,.,.,.,.,.,-25.8,N
13.6.19,1d,5,0.5,-32,.,17.6.19,N,.,.,L,.,.,.,.,.,.,.,-21.2,N
13.6.19,1d,7,0.5,-30,.,17.6.19,Y,.,.,L,.,.,.,.,.,.,.,-23.1,N
13.6.19,1d,9,0.5,-32,.,17.6.19,N,.,.,L,.,.,.,.,.,.,.,-23.7,N
13.6.19,1d,10,0.5,-22,.,17.6.19,N,.,.,L,.,.,.,.,.,.,.,.,N
13.6.19,1d,11,0.5,-24,.,17.6.19,N,.,.,L,.,.,.,.,.,.,.,.,N
13.6.19,1d,13,0.5,-26,.,17.6.19,Y,.,.,L,.,.,.,.,.,.,.,.,N
13.6.19,1d,14,0.5,-28,.,17.6.19,N,.,.,L,.,.,.,.,.,.,.,-23.9,N
13.6.19,1d,15,0.5,-32,.,17.6.19,N,.,.,L,.,.,.,.,.,.,.,-23.6,N
13.6.19,1d,c1,0.5,.,.,17.6.19,Y,.,.,L,.,.,.,.,.,.,.,.,Y
13.6.19,1d,c2,0.5,.,.,17.6.19,N,.,.,L,.,.,.,.,.,.,.,.,N
13.6.19,2d,3,0.5,-28,.,17.6.19,Y,.,Y,L,.,.,.,.,.,.,.,-26.2,N
13.6.19,2d,4,0.5,-22,.,17.6.19,N,.,Y,L,.,.,.,.,.,.,.,.,Y
13.6.19,2d,7,0.5,-32,.,17.6.19,N,.,Y,L,.,.,.,.,.,.,.,-27,N
13.6.19,2d,8,0.5,-24,.,17.6.19,N,.,Y,L,.,.,.,.,.,.,.,.,N
13.6.19,2d,9,0.5,-32,.,17.6.19,N,.,Y,L,.,.,.,.,.,.,.,-26,N
13.6.19,2d,10,0.5,-32,.,17.6.19,N,.,Y,L,.,.,.,.,.,.,.,-25.7,N
13.6.19,2d,11,0.5,-30,.,17.6.19,N,.,Y,L,.,.,.,.,.,.,.,-25.3,N
13.6.19,2d,14,0.5,-32,.,17.6.19,N,.,Y,L,.,.,.,.,.,.,.,-24.4,N
13.6.19,2d,15,0.5,-26,.,17.6.19,N,.,Y,L,.,.,.,.,.,.,.,-20.9,N
13.6.19,2d,c1,0.5,.,.,17.6.19,N,.,Y,L,.,.,.,.,.,.,.,.,N
13.6.19,2d,c2,0.5,.,.,17.6.19,N,.,Y,L,.,.,.,.,.,.,.,.,N
14.3.19,c,3,0.5,-8,A,20.3.19,N,Y,N,L,.,27.3.19,.,.,.,.,.,.,N
14.3.19,c,4,0.5,-12,A,20.3.19,N,Y,N,L,.,.,5.4.19,N,N,P,.,.,N
14.3.19,c,5,0.5,0,A,20.3.19,N,Y,N,L,.,.,5.4.19,N,N,W,.,.,N
14.3.19,c,7,0.5,-20,A,20.3.19,N,Y,Y,L,12.4.19,.,5.4.19,N,N,W,ADULT IN COCCOON,.,Y
14.3.19,c,8,0.5,-2,A,20.3.19,N,Y,Y,L,.,.,5.4.19,N,N,L,.,.,Y
14.3.19,c,9,0.5,-18,A,20.3.19,N,Y,N,L,.,.,5.4.19,N,N,L,.,.,N
14.3.19,c,10,0.5,-4,A,18.3.19,Y,N,N,L,.,.,.,.,.,.,.,.,N
14.3.19,c,11,0.5,-10,A,20.3.19,N,N,Y,W,5.4.19,.,.,.,.,.,ADULT IN COCOON,.,Y
14.3.19,c,13,0.5,-14,A,20.3.19,N,Y,N,L,.,27.3.19,.,.,.,.,.,.,N
14.3.19,c,14,0.5,-16,A,18.3.19,Y,N,N,L,.,.,.,.,.,.,.,.,N
14.3.19,c,15,0.5,-6,A,20.3.19,N,N,N,L,.,.,5.4.19,DRY,N,L,.,.,N
14.3.19,c,c1,0.5,.,A,20.3.19,N,N,N,L,.,.,5.4.19,N,N,W,.,.,N
14.3.19,c,c2,0.5,.,A,18.3.19,N,N,Y,L,.,.,.,.,.,.,.,.,N
14.3.19,d,3,0.5,-34,A,18.3.19,Y,N,Y,L,.,.,.,.,.,.,.,-25.5,N
14.3.19,d,4,0.5,-24,A,20.3.19,N,Y,Y,L,.,.,5.4.19,N,N,P,.,.,N
14.3.19,d,5,0.5,-36,A,18.3.19,Y,N,Y,L,.,.,.,.,.,.,.,-24.7,N
14.3.19,d,7,0.5,-28,A,18.3.19,Y,N,N,L,.,.,.,.,.,.,.,-26.5,N
14.3.19,d,8,0.5,-30,A,18.3.19,Y,N,Y,L,.,.,.,.,.,.,.,-26.9,N
14.3.19,d,9,0.5,-32,A,18.3.19,Y,N,Y,L,.,.,.,.,.,.,.,-25.1,N
14.3.19,d,10,0.5,-35.5,A,18.3.19,Y,N,Y,L,.,.,.,.,.,.,.,-25.9,N
14.3.19,d,13,0.5,-26,A,20.3.19,N,Y,N,L,.,.,5.4.19,N,N,L,.,.,N
14.3.19,d,14,0.5,-22,A,20.3.19,N,N,YR,W,29.3.19,.,.,.,.,.,.,.,Y
14.3.19,d,15,0.5,-35.5,A,18.3.19,Y,N,N,L,.,.,.,.,.,.,.,-26,N
14.3.19,d,c1,0.5,.,A,18.3.19,N,N,Y,L,.,.,.,.,.,.,.,.,N
14.3.19,d,c2,0.5,.,A,20.3.19,N,Y,Y,L,.,.,5.4.19,N,N,L,.,.,y
14.3.19,d,c3,0.5,.,A,18.3.19,N,N,N,L,.,.,.,.,.,.,.,.,N
14.3.19,e,3,1,-6,A,20.3.19,N,Y,N,L,.,.,5.4.19,N,N,L,.,.,N
